method,scale,n_cases,prec_mean,recall_mean,f1_mean,auc_pr_mean,ndcg15_mean,f1_std
CommonNeighbors,Small,25,0.4988742109145194,0.9079207502164158,0.6313928764727564,0.6976037624388576,0.7840619904248263,0.11179624560993841
CommonNeighbors,Medium,25,0.640952380952381,0.8801898325451549,0.7393004495000554,0.6589128946396682,0.6649366338362054,0.07744337855945446
CommonNeighbors,Large,25,0.33485714285714285,0.7827243149007856,0.46465791240012655,0.3177045427454008,0.46700332830322483,0.1277018915674063
Peter-Clark,Small,25,0.5214621531231851,0.8721460892049129,0.6253234594249314,0.6567854803370489,0.7393155769522056,0.13140066375518847
Peter-Clark,Medium,25,0.6921080287833609,0.8775612305513356,0.768825719363052,0.7802899858542355,0.6622259312107714,0.09700838726657178
Peter-Clark,Large,25,0.4753934640522876,0.8541634933693757,0.5984669667500312,0.7992184598846116,0.8683363809449071,0.12454578703435626
GAT,Small,25,0.41942857142857143,0.9752228163992871,0.582832082100506,0.7113032018962708,0.7136868399124121,0.0684281005168654
GAT,Medium,25,0.6262857142857142,0.8631088677772335,0.7235571774783783,0.662653723628985,0.6597009774236122,0.10054557404368503
GAT,Large,25,0.31085714285714283,0.739944477091536,0.4337307208554774,0.28305779236175105,0.47378663887661454,0.11161099216115296
GATE,Small,25,0.4251428571428571,0.9837564102564103,0.5897527933809696,0.9054287620986122,0.8169027953990537,0.07959793382630055
GATE,Medium,25,0.672,0.9288926069099982,0.7773937691146336,0.8320726193617253,0.6764650272294572,0.07680973699055282
GATE,Large,25,0.3405714285714286,0.8153252335899396,0.4754526373863735,0.5406760228419816,0.5832846754167705,0.10179246604234948
VGAE,Small,25,0.40457142857142847,0.9338521152050564,0.5607955096199386,0.6784236570558481,0.686037280269832,0.08918540620065528
VGAE,Medium,24,0.5607142857142857,0.76466431418268,0.6452912917527912,0.6225354120140585,0.6702859424713242,0.12024696851034651
VGAE,Large,24,0.2523809523809524,0.6022129014776073,0.3518553476219628,0.3737306896044153,0.558296746134208,0.14600428642390695
TransE,Small,25,0.4704120144616749,0.8228763493128818,0.5713105472925188,0.5031096045257721,0.7471748294161855,0.12431616736965877
TransE,Medium,25,0.37333333333333335,0.06639322646369122,0.10852274344532407,0.05762100123267583,0.3507335857237725,0.16126290172839552
TransE,Large,25,0.0,0.0,0.0,0.0,0.0,0.0
CDHC,Small,25,0.3036453201970443,0.7043407902726787,0.42171931901863063,0.503985161776815,0.7537363176756829,0.10077172854406496
CDHC,Medium,25,0.3748571428571429,0.5178375262585158,0.43357345810698567,0.3905473423935036,0.7902071117822078,0.10178388788076669
CDHC,Large,25,0.22514285714285717,0.5507849764614471,0.31636407867664057,0.3546301369795268,0.7560230028927886,0.09838897158412149
IF-PDAG,Small,25,0.33485714285714285,0.7770414356884946,0.464583651758871,0.6452073306997065,0.7798662273607718,0.10976561025768976
IF-PDAG,Medium,25,0.4971428571428571,0.6836752722096051,0.5739893815288474,0.5941410124501444,0.7806505764584739,0.12988881697669968
IF-PDAG,Large,25,0.33485714285714285,0.8062065516183163,0.46828498711791633,0.5565512219597689,0.7155279085120344,0.09434029439939905
PCVGAE,Small,25,0.6924276935878766,0.95850290885585,0.7981560271082722,0.8579870503422602,0.8380660348044947,0.08834196481323692
PCVGAE,Medium,25,0.9144673956062261,0.9398916655780224,0.9245683390124139,0.9090750299505953,0.7966356277855178,0.06976742685582933
PCVGAE,Large,25,0.5619924519369797,0.9748119658119658,0.7056561646712228,0.8665347366261684,0.8149165121043555,0.10452843936298128
PCGATE,Small,24,0.7035183503399279,0.9507144951997892,0.8031549405462671,0.8453715202582913,0.8413532644863834,0.09378476164957726
PCGATE,Medium,25,0.9326743182743183,0.9435864914029832,0.9357181333112626,0.9098946213132351,0.7858018115253073,0.05647005218053561
PCGATE,Large,25,0.5897194742732974,0.9754072039072039,0.728818475979373,0.8691297321578582,0.8235330100805014,0.09553897653722186
