method,scale,n_cases,prec_mean,recall_mean,f1_mean,auc_pr_mean,ndcg15_mean
CommonNeighbors,Medium,25,0.640952380952381,0.8801898325451549,0.7393004495000554,0.6589128946396682,0.6649366338362054
Peter-Clark,Medium,25,0.6921080287833609,0.8775612305513356,0.768825719363052,0.7802899858542355,0.6622259312107714
GAT,Medium,25,0.6262857142857142,0.8631088677772335,0.7235571774783783,0.662653723628985,0.6597009774236122
GATE,Medium,25,0.672,0.9288926069099982,0.7773937691146336,0.8320726193617253,0.6764650272294572
VGAE,Medium,24,0.5607142857142857,0.76466431418268,0.6452912917527912,0.6225354120140585,0.6702859424713242
TransE,Medium,25,0.37333333333333335,0.06639322646369122,0.10852274344532407,0.05762100123267583,0.3507335857237725
CDHC,Medium,25,0.3748571428571429,0.5178375262585158,0.43357345810698567,0.3905473423935036,0.7902071117822078
IF-PDAG,Medium,25,0.4971428571428571,0.6836752722096051,0.5739893815288474,0.5941410124501444,0.7806505764584739
PCVGAE,Medium,25,0.9144673956062261,0.9398916655780224,0.9245683390124139,0.9090750299505953,0.7966356277855178
PCGATE,Medium,25,0.9326743182743183,0.9435864914029832,0.9357181333112626,0.9098946213132351,0.7858018115253073
