method,method_key,n_cases,Precision_mean,Precision_sample_std,Precision_population_std,Recall_mean,Recall_sample_std,Recall_population_std,F1_mean,F1_sample_std,F1_population_std,AUC_PR_mean,AUC_PR_sample_std,AUC_PR_population_std,NDCG15_mean,NDCG15_sample_std,NDCG15_population_std,NDCG25_mean,NDCG25_sample_std,NDCG25_population_std
CommonNeighbors,CommonNeighbors,25,0.6409523809523809,0.0890234242659044,0.08722478584270715,0.8801898325451549,0.08055648682892019,0.07892891528083529,0.7393004495000554,0.07904031726160766,0.07744337855945446,0.6589128946396683,0.1782895797468616,0.1746873987340244,0.6649366338362055,0.12701962698719493,0.12445330937491175,0.7823976571318332,0.11686346552202119,0.1145023440409146
Peter-Clark,Peter-Clark,25,0.6921080287833609,0.13174617450741333,0.12908436124273262,0.8775612305513355,0.07271922400260446,0.07124999731901277,0.768825719363052,0.09900877065558575,0.09700838726657177,0.7802899858542355,0.12775007800468446,0.1251690022848902,0.6622259312107714,0.11732437020552612,0.11495393655877302,0.8021430550647524,0.09870920934373836,0.09671487832228982
GAT,GAT,25,0.6262857142857143,0.10908400307969617,0.10688005865817775,0.8631088677772336,0.10172800265500856,0.09967267962290534,0.7235571774783782,0.10261889679260544,0.10054557404368504,0.662653723628985,0.18698078862931458,0.18320300953800622,0.6597009774236122,0.12908422171556608,0.1264761908189715,0.7719904454708907,0.12177326747679065,0.11931294785183642
CDHC,CDHC,25,0.37485714285714283,0.09523333321427976,0.09330922915177232,0.5178375262585158,0.12111533919969783,0.11866831242534608,0.43357345810698567,0.10388274556022127,0.10178388788076669,0.3905473423935035,0.13017277785785855,0.12754275366096707,0.7902071117822077,0.08684697135581167,0.08509230621113806,0.8317651613452961,0.06749357623072208,0.0661299290723633
IF-PDAG,IF-PDAG,25,0.4971428571428571,0.12589813396573604,0.12335447511384516,0.683675272209605,0.1439746705457383,0.14106579148894932,0.5739893815288474,0.13256721870277807,0.12988881697669968,0.5941410124501444,0.16181387062059585,0.1585445665300775,0.780650576458474,0.16852449354780594,0.1651196073412322,0.8373753051845083,0.13141432781166504,0.12875921921176786
VGAE,VGAE,24,0.5607142857142857,0.12057610894333429,0.11803738022021541,0.76466431418268,0.12870629831505792,0.1259963885390483,0.6452912917527912,0.12283322069804886,0.12024696851034651,0.6225354120140585,0.1977833232862955,0.1936189974660221,0.6702859424713243,0.1537007253789377,0.1504645582003543,0.7776367505285854,0.10846774847023895,0.1061839611512864
GATE,GATE,25,0.672,0.09001889446413026,0.08820014345862741,0.9288926069099982,0.07672061632816506,0.07517054510233756,0.7773937691146338,0.07839360954343035,0.07680973699055284,0.8320726193617253,0.105390322321545,0.103261005406095,0.6764650272294572,0.09726516049354701,0.0953000051836412,0.8025413616984586,0.06007298799281984,0.05885926716269969
DistMult,DistMult,25,0.5897142857142857,0.1231336865439542,0.12064588087219794,0.8116658210910085,0.12201132374112031,0.11954619440290874,0.68094044867323,0.12067693808117666,0.11823876880812917,0.6740774017320199,0.18768291080625413,0.18389094596624384,0.6552687595956516,0.13956885539201158,0.13674899187788842,0.775114797341869,0.09846412443375471,0.09647474513304347
NOTEARS,NOTEARS,25,0.6674285714285715,0.10461461507396964,0.10250097062755964,0.9190384390888139,0.07790316471316208,0.07632920115809558,0.7708887831187545,0.09225562588811678,0.09039168373079372,0.6456376653200295,0.14716325430559574,0.14418995277445965,0.5853981894385301,0.055695785602903114,0.05457050222022487,0.7289866717600604,0.07241453358034804,0.0709514628933962
GES,GES,25,0.6740824256388772,0.08995803029824664,0.0881405089986134,0.9213924802944293,0.07260298184151191,0.0711361037265027,0.7764433537647164,0.07880915821005582,0.07721688986916338,0.7776986703536878,0.1421910054845668,0.1393181637801892,0.5272901702712107,0.08366619439235572,0.08197579399271152,0.6721272378257279,0.08551254320805679,0.08378483898697538
GOLEM,GOLEM,25,0.6548571428571428,0.11215877957937442,0.10989271205710281,0.9006416557954788,0.08597871470955433,0.0842415919114938,0.7560345589711223,0.10168594267761967,0.09963146942962704,0.7592062156621446,0.12539945611808478,0.12286587260473518,0.7367832629377358,0.05018444783624814,0.04917051608885091,0.8401574784920752,0.042616814137381574,0.04175577963984532
PC-VGAE,PCVGAE,25,0.9144673956062263,0.10003026905438737,0.09800924720662538,0.9398916655780224,0.0615941480749435,0.06034969357001693,0.9245683390124139,0.07120608185988733,0.06976742685582933,0.9090750299505953,0.07456334097842798,0.07305685556572158,0.7966356277855178,0.06850289643223119,0.06711885686467546,0.885055806854961,0.040153820074712965,0.03934254816262827
PC-GATE,PCGATE,25,0.9326743182743182,0.08868534845439796,0.0868935405496799,0.9435864914029831,0.04987533776204831,0.04886765130639354,0.9357181333112625,0.057634505662772006,0.05647005218053561,0.9098946213132352,0.07868798441836283,0.07709816428522492,0.7858018115253071,0.05801657295082157,0.056844400141787765,0.8776449080647779,0.0257213962705128,0.025201718533873037
